,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,United Nations,,,,,,,
,,,,Population Division,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,
,,,,,,,,,,,
,,,,Workbook: UN_MigrantStock_2017.xls,,,,,,,
,,,,"Table 4 - Female migrants as a percentage of the international migrant stock by major area, region, country or area, 1990-2017",,,,,,,
,,,,,,,,,,,
,,,,December 2017 - Copyright © 2017 by United Nations. All rights reserved,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2017). Trends in International Migrant Stock: The 2017 revision (United Nations database, POP/DB/MIG/Stock/Rev.2017).",,,,,,,
,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Female migrants as a percentage of the international migrant stock,,,,,,
,,,,,1990,1995,2000,2005,2010,2015,2017
191,Barbados,,52,B,58.1,57.2,56.4,55.7,55.1,55.1,55.1
192,British Virgin Islands,,92,B,48.6,49.9,50.7,50.7,50.7,50.7,50.7
193,Caribbean Netherlands,22,535,B,55.1,55.4,55.7,55.7,51.7,51.6,51.6
194,Cayman Islands,,136,C,50.8,50.0,49.6,49.2,48.8,48.8,48.8
195,Cuba,,192,B,50.0,52.0,56.0,55.7,55.4,55.4,55.4
196,Curaçao,,531,B,..,..,..,..,59.0,58.9,58.9
197,Dominica,,212,B,48.0,48.0,47.5,47.5,47.5,47.5,47.5
198,Dominican Republic,,214,B,37.6,38.5,39.3,39.3,39.4,39.4,39.4
199,Grenada,,308,B,50.6,50.5,50.4,50.4,50.4,50.4,50.4
200,Guadeloupe,23,312,B,50.4,51.4,52.2,53.7,55.0,55.5,55.5
201,Haiti,,332,B,44.4,43.7,43.2,42.8,42.6,42.4,42.4
202,Jamaica,,388,B,51.3,50.5,49.9,49.6,49.2,49.2,49.2
203,Martinique,,474,B,50.7,52.2,53.3,54.6,55.8,56.3,56.3
204,Montserrat,,500,B,48.9,48.8,48.6,48.6,48.6,48.5,48.5
205,Puerto Rico,,630,B,52.4,52.5,52.5,52.6,53.1,53.3,53.3
206,Saint Kitts and Nevis,,659,B,48.8,48.3,47.7,47.6,47.5,47.4,47.4
207,Saint Lucia,,662,B,50.7,50.2,49.8,49.6,49.5,49.5,49.5
208,Saint Vincent and the Grenadines,,670,B,51.4,51.4,51.3,51.2,51.2,51.1,51.1
209,Sint Maarten (Dutch part),,534,B,..,..,..,52.0,52.0,52.1,52.1
210,Trinidad and Tobago,,780,B,53.6,53.7,53.8,53.9,52.0,51.2,51.2
211,Turks and Caicos Islands,,796,B,48.2,48.2,48.3,48.3,48.3,48.3,48.3
212,United States Virgin Islands,,850,B,52.2,52.5,52.8,52.8,52.9,52.9,52.9
213,Central America,,916,,50.6,50.5,49.9,50.1,50.0,50.0,49.9
214,Belize,,84,B R ,46.1,47.6,48.9,49.2,49.4,49.7,49.7
215,Costa Rica,,188,B R,49.2,49.4,49.6,50.8,51.7,52.0,52.0
216,El Salvador,,222,B R,53.1,53.0,53.0,52.7,52.5,52.4,52.4
217,Guatemala,,320,B R,57.4,57.2,55.9,54.5,53.4,52.6,52.6
218,Honduras,,340,B R,49.1,49.1,48.8,48.2,47.6,47.5,47.5
219,Mexico,,484,B R,49.9,49.9,49.7,49.5,49.4,49.3,49.3
220,Nicaragua,,558,B R,49.6,49.8,49.2,49.1,48.8,48.5,48.5
221,Panama,,591,B,47.2,48.1,49.1,49.1,48.6,48.7,48.7
222,South America,,931,,49.9,50.3,50.6,50.8,50.9,50.9,50.9
223,Argentina,,32,B,52.2,52.8,53.4,53.7,53.9,54.0,54.0
224,Bolivia (Plurinational State of),,68,B,49.1,48.8,48.6,48.0,47.6,47.6,47.6
225,Brazil,,76,B,46.6,46.6,46.5,46.3,46.0,46.0,46.0
226,Chile,,152,B,49.3,51.1,52.2,52.7,52.9,52.9,52.9
227,Colombia,,170,B,49.1,48.9,48.7,48.2,47.2,46.7,46.7
228,Ecuador,,218,B R,51.0,49.7,49.0,48.7,48.4,48.3,48.3
229,Falkland Islands (Malvinas),,238,B,42.9,41.2,40.4,42.1,43.8,44.4,44.4
230,French Guiana,,254,B,45.2,47.4,49.3,50.6,51.6,52.5,52.5
231,Guyana,,328,B,46.3,46.4,46.4,46.5,46.5,46.5,46.5
232,Paraguay,,600,B,47.5,47.5,47.9,47.9,48.0,48.0,48.0
233,Peru,,604,B,50.0,50.5,50.3,50.0,49.8,49.9,49.9
234,Suriname,,740,C,46.0,45.9,45.9,45.5,45.5,45.4,45.4
235,Uruguay,,858,B,53.3,53.5,53.8,54.3,54.8,54.8,54.8
236,Venezuela (Bolivarian Republic of),,862,B,49.5,49.7,49.8,50.0,49.8,49.9,49.9
237,NORTHERN AMERICA,,905,,51.1,50.8,50.5,50.3,51.1,51.5,51.5
238,Bermuda,,60,B,51.8,51.8,51.7,51.5,51.3,51.2,51.2
239,Canada,,124,B,51.3,51.6,51.8,52.0,52.1,52.1,52.1
240,Greenland,,304,B,30.3,31.5,30.1,32.0,32.4,34.2,34.2
241,Saint Pierre and Miquelon,,666,B,49.0,48.3,48.1,48.0,47.8,47.7,47.6
242,United States of America,,840,B,51.1,50.7,50.3,50.0,50.9,51.4,51.4
243,OCEANIA,,909,,49.0,49.5,50.1,50.4,50.3,50.8,51.0
244,Australia/New Zealand,,927,,49.2,49.8,50.3,50.6,50.5,51.0,51.2
245,Australia,24,36,B,49.1,49.6,50.1,50.4,50.3,50.9,51.1
246,New Zealand,,554,B,50.2,50.9,51.4,51.5,51.5,51.6,51.6
247,Melanesia,,928,,44.4,44.1,44.0,43.5,43.8,43.6,43.6
248,Fiji,,242,B,48.5,48.3,48.1,47.2,46.5,46.0,46.0
249,New Caledonia,,540,B,44.6,45.2,45.8,46.0,46.2,46.1,46.1
